Flight,Airline,Delay_Minutes,Destination,Ticket_Class
FL001,AirIndia,15,Delhi,Economy
FL002,IndiGo,5,Mumbai,Business
FL003,SpiceJet,35,Bangalore,Economy
FL004,Vistara,0,Chennai,First
FL005,GoFirst,20,Hyderabad,Economy
FL006,AirIndia,45,Kolkata,Business
FL007,IndiGo,10,Pune,Economy
FL008,Vistara,25,Jaipur,Premium
FL009,SpiceJet,60,Goa,Economy
FL010,GoFirst,8,Delhi,Business
FL011,AirIndia,18,Mumbai,Economy
FL012,IndiGo,12,Bangalore,Premium
FL013,Vistara,30,Chennai,Business
FL014,SpiceJet,50,Hyderabad,Economy
FL015,GoFirst,7,Kolkata,Economy
FL241,AirIndia,22,Delhi,Business
FL242,IndiGo,9,Mumbai,Economy
FL243,SpiceJet,40,Bangalore,Premium
FL244,Vistara,15,Chennai,First
FL245,GoFirst,5,Hyderabad,Economy
FL246,AirIndia,55,Pune,Business
FL247,IndiGo,11,Jaipur,Economy
FL248,Vistara,28,Goa,Premium
FL249,SpiceJet,65,Kolkata,Economy
FL250,GoFirst,3,Delhi,Business
