Animal,Species,Weight,Age,Forest
Lion,Panthera_leo,190,8,Amazon
Tiger,Panthera_tigris,220,6,Sundarbans
Elephant,Elephas_maximus,4500,25,Asian_Forest
Deer,Cervidae,85,5,Amazon
Monkey,Macaca,12,4,Western_Ghats
Bear,Ursus,300,10,Boreal_Forest
Wolf,Canis_lupus,45,7,Boreal_Forest
Leopard,Panthera_pardus,70,6,Sundarbans
Fox,Vulpes,8,3,Boreal_Forest
Giraffe,Giraffa_camelopardalis,900,12,African_Forest
Zebra,Equus_quagga,350,9,African_Forest
Gorilla,Gorilla_beringei,160,15,Congo_Forest
Panda,Ailuropoda_melanoleuca,100,10,Bamboo_Forest
Koala,Phascolarctos_cinereus,14,7,Eucalyptus_Forest
Kangaroo,Macropus,80,6,Australian_Forest
Jaguar,Panthera_onca,95,9,Amazon
Cheetah,Acinonyx_jubatus,55,5,African_Forest
Rhinoceros,Rhinocerotidae,2300,30,African_Forest
Hippopotamus,Hippopotamus_amphibius,1500,20,River_Forest
Crocodile,Crocodylidae,500,18,Mangrove_Forest
Animal_181,Species_181,75,6,Amazon
Animal_182,Species_182,120,8,Boreal_Forest
Animal_183,Species_183,250,12,African_Forest
Animal_184,Species_184,45,4,Asian_Forest
Animal_185,Species_185,90,7,Sundarbans
Animal_186,Species_186,300,15,Congo_Forest
Animal_187,Species_187,60,5,Amazon
Animal_188,Species_188,180,9,Bamboo_Forest
Animal_189,Species_189,40,3,Boreal_Forest
Animal_190,Species_190,500,20,African_Forest
Animal_191,Species_191,110,8,Asian_Forest
Animal_192,Species_192,70,6,Sundarbans
Animal_193,Species_193,220,10,Congo_Forest
Animal_194,Species_194,35,2,Amazon
Animal_195,Species_195,150,11,Boreal_Forest
Animal_196,Species_196,80,5,African_Forest
Animal_197,Species_197,400,18,Asian_Forest
Animal_198,Species_198,95,7,Sundarbans
Animal_199,Species_199,60,4,Amazon
Animal_200,Species_200,275,14,Congo_Forest
