Delivery_ID,Restaurant,Distance,Delivery_Time,Delivery_Partner,Rating
D001,FoodHub,3.5,25,Rider_01,4.5
D002,Spice_Garden,5.2,35,Rider_02,4.2
D003,Burger_Point,2.1,18,Rider_03,4.8
D004,Pizza_Corner,7.5,45,Rider_04,3.9
D005,Urban_Eats,4.8,32,Rider_05,4.6
D006,Tasty_Bites,6.2,40,Rider_06,4.1
D007,Green_Kitchen,3.0,22,Rider_07,4.7
D008,Food_House,8.1,50,Rider_08,3.8
D009,Cafe_Delight,2.7,20,Rider_09,4.4
D010,Meal_Point,5.8,38,Rider_10,4.3
D011,FoodHub,4.1,30,Rider_11,4.6
D012,Spice_Garden,6.5,42,Rider_12,4.0
D013,Burger_Point,3.8,27,Rider_13,4.5
D014,Pizza_Corner,9.2,55,Rider_14,3.7
D015,Urban_Eats,2.5,19,Rider_15,4.9
D241,FoodHub,5.5,36,Rider_41,4.4
D242,Spice_Garden,7.2,43,Rider_42,4.1
D243,Burger_Point,3.4,24,Rider_43,4.6
D244,Pizza_Corner,8.7,52,Rider_44,3.9
D245,Urban_Eats,4.6,31,Rider_45,4.5
D246,Tasty_Bites,6.8,41,Rider_46,4.2
D247,Green_Kitchen,2.9,21,Rider_47,4.8
D248,Food_House,9.0,56,Rider_48,3.6
D249,Cafe_Delight,3.2,23,Rider_49,4.7
D250,Meal_Point,5.9,37,Rider_50,4.3
