House_ID,City,Area_sq_ft,Bedrooms,Price,Age_of_House
H001,Delhi,1450,2,17100000,12
H002,Mumbai,2200,3,39000000,5
H003,Bengaluru,1800,3,19600000,8
H004,Hyderabad,1350,2,11800000,15
H005,Pune,2500,4,24500000,6
H006,Jaipur,1200,2,8100000,20
H007,Chandigarh,1750,3,16200000,10
H008,Lucknow,980,2,6200000,18
H009,Delhi,3100,5,36400000,4
H010,Mumbai,2800,4,49500000,7
H011,Bengaluru,1650,3,17800000,11
H012,Hyderabad,2100,3,18400000,9
H013,Pune,1950,3,19100000,13
H014,Jaipur,1550,2,10600000,14
H015,Chandigarh,2400,4,22400000,5
H016,Lucknow,1400,2,9200000,16
H017,Delhi,2750,4,32200000,8
H018,Mumbai,3500,5,61800000,3
H019,Bengaluru,2050,3,22100000,6
H020,Hyderabad,1700,3,14900000,12
H021,Pune,2250,4,21900000,7
H022,Jaipur,1850,3,12700000,10
H023,Chandigarh,2600,4,24200000,6
H024,Lucknow,1600,3,10500000,11
H025,Delhi,3300,5,38900000,4
H026,Mumbai,2950,4,52300000,9
H027,Bengaluru,1900,3,20700000,8
H028,Hyderabad,1450,2,12600000,17
H029,Pune,2800,4,27300000,5
H030,Jaipur,1100,2,7600000,22
H031,Chandigarh,2150,3,20100000,7
H032,Lucknow,1750,3,11400000,10
H033,Delhi,2500,4,29200000,9
H034,Mumbai,3700,5,65300000,2
H035,Bengaluru,2300,4,25100000,5
H036,Hyderabad,2000,3,17500000,8
H037,Pune,1600,3,15600000,15
H038,Jaipur,1450,2,9800000,18
H039,Chandigarh,2700,4,25200000,4
H040,Lucknow,1250,2,8100000,19
H041,Delhi,3000,5,35100000,6
H042,Mumbai,2600,4,46100000,10
H043,Bengaluru,1750,3,18900000,9
H044,Hyderabad,1550,2,13500000,13
H045,Pune,2400,4,23500000,8
H046,Jaipur,2000,3,13900000,6
H047,Chandigarh,1800,3,16900000,12
H048,Lucknow,1500,2,9800000,15
H049,Delhi,3400,5,40100000,5
H050,Mumbai,3200,5,56700000,4
