Song,Artist,Genre,Duration,Streams,Release_Year
Song_001,Artist_001,Pop,32,12503456,2018
Song_002,Artist_002,Rock,401,23567412,2019
Song_003,Artist_003,Hip-Hop,258,9876543,2020
Song_004,Artist_004,Jazz,510,3456789,2017
Song_005,Artist_005,Country,345,8765432,2021
Song_006,Artist_006,EDM,328,15678901,2022
Song_007,Artist_007,R&B,412,21345678,2019
Song_008,Artist_008,Classical,630,2345678,2016
Song_009,Artist_009,Latin,318,18456789,2023
Song_010,Artist_010,Indie,405,7654321,2020
Song_241,Artist_241,Pop,341,21456789,2022
Song_242,Artist_242,Rock,411,19876543,2021
Song_244,Artist_244,Jazz,524,4321987,2017
Song_245,Artist_245,Country,339,8761234,2020
Song_246,Artist_246,EDM,316,25678901,2023
Song_247,Artist_247,R&B,419,16432109,2019
Song_248,Artist_248,Latin,327,28765432,2022
Song_249,Artist_249,Indie,413,9432108,2021
Song_250,Artist_250,Pop,333,32145678,2024
