Reading_ID,Temperature,Pressure,Battery_Level,Terrain_Type,Signal_Strength
R001,24.5,101.3,98,Rocky,85
R002,26.1,100.8,96,Sandy,82
R003,22.8,102.1,94,Mountain,78
R004,28.4,99.9,91,Desert,75
R005,25.7,101.6,89,Rocky,88
R006,21.9,103.2,95,Mountain,80
R007,30.5,98.7,87,Desert,72
R008,23.6,101.9,92,Sandy,84
R009,27.3,100.4,90,Rocky,79
R010,29.1,99.5,85,Desert,70
R011,24.8,101.2,93,Mountain,86
R012,26.5,100.7,88,Sandy,81
R013,23.1,102.4,97,Rocky,89
R014,31.2,98.9,84,Desert,68
R015,22.5,103.0,95,Mountain,83
R486,25.9,101.5,90,Rocky,86
R487,27.8,100.2,88,Sandy,80
R488,23.7,102.0,94,Mountain,84
R489,30.1,99.1,86,Desert,71
R490,24.3,101.8,92,Rocky,87
R491,26.9,100.5,89,Sandy,82
R492,22.7,103.3,96,Mountain,85
R493,29.5,99.7,87,Desert,73
R494,25.4,101.4,91,Rocky,88
R495,23.9,102.2,93,Sandy,84
R496,28.6,100.0,85,Desert,70
R497,24.7,101.7,95,Mountain,86
R498,26.2,100.9,90,Rocky,83
R499,22.9,103.1,97,Mountain,89
R500,30.8,98.8,84,Desert,69
