Booking_ID,Movie,Seat_Type,Ticket_Price,Number_of_Tickets,Booking_Day
B001,Avengers_Endgame,Premium,250,2,Monday
B002,Avatar_2,Regular,180,3,Tuesday
B003,SpiderMan_No_Way_Home,VIP,400,2,Friday
B004,Interstellar,Premium,250,1,Saturday
B005,The_Batman,Regular,180,4,Sunday
B006,Inception,VIP,400,2,Wednesday
B007,Joker,Premium,250,3,Thursday
B008,Black_Panther,Regular,180,2,Monday
B009,Top_Gun_Maverick,VIP,400,1,Friday
B010,Jurassic_World,Premium,250,5,Saturday
B011,Avengers_Endgame,Regular,180,2,Sunday
B012,Avatar_2,VIP,400,3,Tuesday
B013,SpiderMan_No_Way_Home,Premium,250,2,Wednesday
B014,Interstellar,Regular,180,1,Thursday
B015,The_Batman,VIP,400,4,Friday
B291,Joker,Premium,250,2,Monday
B292,Black_Panther,Regular,180,3,Tuesday
B293,Top_Gun_Maverick,VIP,400,1,Wednesday
B294,Jurassic_World,Premium,250,4,Thursday
B295,Avengers_Endgame,Regular,180,2,Friday
B296,Avatar_2,VIP,400,3,Saturday
B297,SpiderMan_No_Way_Home,Premium,250,1,Sunday
B298,Interstellar,Regular,180,5,Monday
B299,The_Batman,VIP,400,2,Tuesday
B300,Inception,Premium,250,3,Wednesday
