Coin,Market_Cap,Daily_Return,Trading_Volume,Category
Bitcoin,850000000000,2.5,35000000000,Payment
Ethereum,420000000000,1.8,22000000000,Smart_Contract
Binance_Coin,90000000000,1.2,3500000000,Exchange
Cardano,25000000000,3.1,1200000000,Smart_Contract
Solana,70000000000,4.5,4500000000,Smart_Contract
Ripple,30000000000,-0.8,1800000000,Payment
Polkadot,12000000000,2.2,900000000,Smart_Contract
Dogecoin,15000000000,1.5,1100000000,Meme
Avalanche,14000000000,3.8,800000000,Smart_Contract
Chainlink,9000000000,2.9,600000000,Oracle
Litecoin,8000000000,1.1,500000000,Payment
Polygon,7500000000,2.6,700000000,Layer_2
Uniswap,6000000000,3.4,400000000,DeFi
Cosmos,5000000000,1.9,300000000,Blockchain
Stellar,4500000000,0.7,250000000,Payment
Aptos,4200000000,4.1,350000000,Smart_Contract
Arbitrum,3900000000,2.7,280000000,Layer_2
Filecoin,3500000000,1.6,200000000,Storage
VeChain,3000000000,2.3,150000000,Supply_Chain
Near_Protocol,2800000000,3.0,220000000,Smart_Contract
Coin_131,250000000,1.8,45000000,DeFi
Coin_132,320000000,-0.5,60000000,Payment
Coin_133,410000000,2.4,75000000,Smart_Contract
Coin_134,290000000,1.2,52000000,Meme
Coin_135,500000000,3.5,90000000,Layer_2
Coin_136,380000000,2.1,65000000,Oracle
Coin_137,270000000,0.9,40000000,Storage
Coin_138,620000000,4.2,110000000,DeFi
Coin_139,450000000,1.7,80000000,Payment
Coin_140,700000000,3.8,130000000,Smart_Contract
Coin_141,330000000,2.0,55000000,Exchange
Coin_142,560000000,-1.1,95000000,Meme
Coin_143,680000000,2.9,120000000,Layer_2
Coin_144,290000000,1.4,50000000,Storage
Coin_145,760000000,3.6,140000000,DeFi
Coin_146,390000000,1.5,70000000,Payment
Coin_147,520000000,2.8,85000000,Oracle
Coin_148,610000000,4.0,100000000,Smart_Contract
Coin_149,470000000,1.9,78000000,Blockchain
Coin_150,800000000,3.2,150000000,Smart_Contract
