Day,Units,Temperature,City
Day_001,245,28,Delhi
Day_002,260,30,Mumbai
Day_003,220,26,Jaipur
Day_004,310,32,Bangalore
Day_005,275,29,Chennai
Day_006,290,31,Hyderabad
Day_007,240,27,Pune
Day_008,330,34,Delhi
Day_009,255,28,Mumbai
Day_010,300,33,Jaipur
Day_011,270,30,Bangalore
Day_012,315,35,Chennai
Day_013,225,25,Hyderabad
Day_014,280,29,Pune
Day_015,340,36,Delhi
Day_351,265,29,Mumbai
Day_352,295,31,Jaipur
Day_353,230,26,Bangalore
Day_354,320,34,Chennai
Day_355,285,30,Hyderabad
Day_356,250,28,Pune
Day_357,335,35,Delhi
Day_358,275,29,Mumbai
Day_359,305,32,Jaipur
Day_360,245,27,Bangalore
Day_361,290,31,Chennai
Day_362,315,33,Hyderabad
Day_363,260,28,Pune
Day_364,345,36,Delhi
Day_365,280,30,Mumbai
