Farm_ID,Crop,State,Rainfall,Fertilizer_Used,Yield,Temperature
1001,Rice,UP,571.7,248.2,5.43,18.9
1002,Sugarcane,Punjab,994.5,57.8,3.35,36.6
1004,Millet,Maharashtra,584.2,228.4,7.53,40.6
1005,Millet,Maharashtra,1372.5,253.2,7.49,32.7
1006,Maize,Maharashtra,1254.6,116.7,3.99,27.9
1007,Wheat,UP,201.9,133.3,5.44,23.4
1008,Cotton,Gujarat,442.2,146.1,2.3,18.1
1009,Sugarcane,Bihar,1235.1,237.2,4.4,23.1
1010,Cotton,Haryana,945.3,149.3,6.85,32.0
1011,Sugarcane,Gujarat,508.4,86.5,4.49,25.4
1012,Rice,Bihar,1114.3,71.8,3.46,40.8
1013,Wheat,Punjab,1233.9,124.4,3.97,23.1
1014,Rice,Punjab,1276.4,254.0,3.96,35.8
1015,Cotton,Bihar,1285.8,255.8,1.71,15.0
1016,Millet,Haryana,1052.3,199.9,5.28,20.4
1017,Sugarcane,Gujarat,1317.0,55.9,7.84,32.4
1018,Sugarcane,Gujarat,998.7,37.8,1.7,16.3
1019,Sugarcane,UP,499.2,196.2,3.03,33.1
1020,Wheat,Gujarat,244.1,90.4,5.39,30.7
1021,Maize,Maharashtra,1082.9,145.0,5.65,41.6
1022,Millet,UP,202.6,252.8,2.49,16.2
1023,Sugarcane,Bihar,1151.5,106.1,5.17,38.4
1024,Cotton,Bihar,241.3,226.2,4.3,15.0
1025,Rice,UP,1478.5,65.0,5.69,34.0
1026,Rice,Haryana,1187.4,86.3,4.9,32.2
1027,Maize,Haryana,516.4,114.8,4.49,21.7
1028,Rice,Maharashtra,308.8,254.8,4.98,25.5
1029,Sugarcane,Haryana,1004.7,240.7,3.21,40.2
1030,Cotton,Bihar,384.9,224.5,6.38,31.6
1031,Wheat,Gujarat,923.6,252.5,4.21,39.9
1032,Wheat,UP,590.5,60.2,2.29,18.2
1033,Cotton,UP,1085.7,109.3,5.86,24.1
1034,Wheat,Haryana,434.3,76.9,4.09,17.3
1035,Cotton,Haryana,412.6,179.4,4.51,16.2
1036,Wheat,Punjab,813.9,153.7,6.95,38.9
1037,Millet,Haryana,1022.8,283.4,5.06,23.7
1038,Wheat,Punjab,576.9,198.3,5.41,15.9
1039,Sugarcane,Bihar,610.8,270.3,6.49,40.9
1040,Wheat,UP,1074.4,65.7,7.42,34.5
1041,Maize,Haryana,489.7,202.1,2.43,27.3
1042,Sugarcane,Punjab,1005.0,142.4,4.4,31.7
1043,Millet,Punjab,1495.8,274.1,3.18,27.8
1044,Millet,UP,691.0,217.6,2.75,30.3
1045,Wheat,Haryana,836.4,85.5,3.76,24.3
1046,Sugarcane,Bihar,508.8,290.0,5.98,20.3
1047,Millet,Gujarat,1212.4,80.9,2.12,25.5
1048,Millet,Gujarat,856.1,186.9,4.13,35.3
1049,Maize,Maharashtra,210.0,232.4,7.87,18.3
1050,Millet,Bihar,796.3,224.1,4.77,39.5
1051,Maize,Punjab,967.9,187.6,2.41,23.5
1052,Cotton,UP,1081.9,188.3,7.76,39.0
1053,Cotton,Gujarat,788.6,147.9,3.76,16.5
1054,Millet,Punjab,223.4,44.4,3.51,19.5
1055,Sugarcane,Gujarat,1449.6,90.2,1.98,34.8
1056,Cotton,Punjab,310.0,59.7,7.55,31.0
1057,Rice,Punjab,1214.3,179.4,4.36,24.1
1058,Cotton,Maharashtra,900.6,27.5,3.89,36.5
1060,Wheat,Gujarat,1318.5,43.2,2.7,21.7
1061,Maize,Punjab,854.2,254.3,2.57,26.7
1062,Sugarcane,UP,746.5,193.9,3.98,39.4
1063,Millet,Haryana,506.1,283.0,4.96,41.6
1064,Sugarcane,Bihar,1005.3,120.9,4.58,30.4
1065,Sugarcane,Bihar,447.4,63.6,4.42,23.0
1066,Rice,Maharashtra,372.2,23.9,3.07,22.3
1067,Millet,Maharashtra,1143.4,52.5,4.92,15.5
1068,Maize,UP,856.7,297.3,2.6,23.1
1070,Millet,Punjab,564.9,215.6,3.76,24.2
1071,Cotton,UP,1044.6,25.5,4.16,41.1
1072,Wheat,Bihar,657.1,208.5,1.56,22.1
1073,Wheat,Bihar,500.9,297.3,4.51,27.5
1074,Sugarcane,UP,803.8,109.8,5.73,19.3
1075,Maize,UP,625.7,161.4,7.05,35.2
1076,Wheat,Haryana,625.6,233.6,8.0,23.2
1077,Rice,Haryana,602.3,211.7,5.95,32.9
1078,Rice,Maharashtra,717.4,186.6,7.91,20.7
1080,Rice,Maharashtra,933.0,140.7,7.8,33.9
1081,Cotton,Haryana,290.0,126.0,4.36,29.6
1082,Cotton,Bihar,1198.2,22.4,5.95,30.9
1083,Cotton,Maharashtra,1225.5,195.5,4.88,24.6
1084,Rice,Maharashtra,408.7,186.4,3.84,19.9
1085,Sugarcane,Maharashtra,886.7,211.1,7.42,41.8
1087,Wheat,Gujarat,379.2,287.6,3.22,28.2
1088,Millet,Bihar,785.0,290.5,5.62,40.9
1089,Wheat,Haryana,342.7,83.0,6.49,39.2
1090,Wheat,Punjab,807.1,36.1,1.95,35.2
1091,Cotton,Gujarat,1309.1,234.7,5.74,33.3
