Booking_ID,Hotel_Type,Stay_Days,Room_Price,Guests,City
HB001,Luxury,5,8500,2,Delhi
HB002,Budget,3,2500,1,Jaipur
HB003,Business,4,5000,2,Mumbai
HB004,Resort,7,12000,4,Goa
HB005,Budget,2,2200,2,Agra
HB006,Luxury,6,9000,3,Bangalore
HB007,Business,3,4500,1,Pune
HB008,Resort,8,15000,5,Goa
HB009,Luxury,4,8000,2,Delhi
HB010,Budget,5,2800,3,Jaipur
HB011,Business,6,5500,2,Hyderabad
HB012,Resort,7,13500,4,Manali
HB013,Luxury,3,9500,2,Mumbai
HB014,Budget,4,3000,1,Agra
HB015,Business,5,5200,3,Chennai
HB171,Luxury,6,9200,3,Delhi
HB172,Budget,3,2700,2,Jaipur
HB173,Business,5,5600,2,Mumbai
HB174,Resort,8,14500,5,Goa
HB175,Luxury,4,8700,2,Bangalore
HB176,Budget,2,2300,1,Agra
HB177,Business,6,5800,3,Pune
HB178,Resort,7,14000,4,Manali
HB179,Luxury,5,8900,2,Hyderabad
HB180,Budget,3,2600,2,Chennai
