User_ID,Screen_Time,Number_of_Apps,Age,Subscription_Type,City
U001,4.7,26,57,Free,Ludhiana
U002,3.3,26,50,Free,Chandigarh
U003,8.0,50,47,Basic,Mumbai
U004,7.3,46,55,Basic,Patiala
U005,9.9,52,16,Free,Patiala
U006,5.8,35,55,Free,Pune
U007,2.8,24,64,Basic,Hyderabad
U008,4.0,23,21,Premium,Bengaluru
U009,0.5,10,57,Basic,Pune
U010,4.8,34,20,Free,Patiala
U011,7.6,35,26,Free,Hyderabad
U012,6.2,41,19,Basic,Mumbai
U013,3.9,20,37,Free,Mumbai
U014,3.2,23,35,Basic,Ludhiana
U015,4.9,30,45,Basic,Ludhiana
U016,8.5,46,29,Basic,Mumbai
U017,7.1,33,16,Basic,Mumbai
U018,6.9,38,18,Free,Patiala
U019,0.8,11,63,Premium,Patiala
U020,8.0,34,40,Premium,Delhi
U021,1.5,13,27,Free,Jaipur
U022,7.7,45,54,Premium,Delhi
U023,4.7,29,58,Premium,Pune
U024,6.7,38,35,Premium,Patiala
U025,6.0,28,52,Basic,Kolkata
U026,1.1,12,60,Free,Pune
U027,5.0,34,21,Basic,Delhi
U028,9.0,60,27,Basic,Hyderabad
U029,6.1,30,44,Premium,Chandigarh
U030,7.1,46,22,Free,Hyderabad
U031,4.3,23,29,Free,Chandigarh
U032,2.7,19,49,Premium,Pune
U033,3.9,23,46,Free,Delhi
U034,7.5,49,60,Premium,Hyderabad
U035,6.3,29,21,Basic,Jaipur
U036,3.2,23,60,Premium,Kolkata
U037,6.3,36,20,Free,Jaipur
U038,6.2,39,28,Premium,Kolkata
U039,9.0,44,51,Free,Ludhiana
U040,1.9,15,57,Free,Bengaluru
U041,6.8,44,23,Free,Chandigarh
U042,8.9,38,32,Basic,Ludhiana
U043,7.1,39,51,Basic,Ludhiana
U044,5.5,38,33,Basic,Jaipur
U045,1.2,15,62,Basic,Patiala
U046,6.1,40,59,Basic,Delhi
U047,2.7,16,50,Basic,Hyderabad
U048,5.7,27,17,Premium,Bengaluru
U049,1.2,13,27,Premium,Delhi
U050,6.9,31,39,Basic,Patiala
U051,3.9,23,45,Basic,Kolkata
U052,3.2,25,37,Basic,Hyderabad
U053,3.0,21,24,Premium,Kolkata
U054,9.4,48,40,Premium,Mumbai
U055,3.7,28,23,Basic,Bengaluru
U056,5.2,32,34,Premium,Patiala
U057,2.1,15,63,Premium,Mumbai
U058,2.4,15,47,Basic,Delhi
U059,7.3,41,16,Basic,Delhi
U060,6.7,44,35,Basic,Mumbai
U061,5.7,32,47,Free,Pune
U062,8.4,47,36,Free,Ludhiana
U063,8.6,56,16,Free,Bengaluru
U064,6.3,31,65,Basic,Hyderabad
U065,8.3,34,42,Basic,Chandigarh
U066,7.7,43,55,Premium,Chandigarh
U067,9.4,49,16,Basic,Mumbai
U068,8.4,52,55,Basic,Ludhiana
U069,9.3,62,31,Basic,Pune
U070,6.3,39,19,Premium,Mumbai
U071,3.4,24,35,Basic,Delhi
U072,9.1,46,23,Basic,Pune
U073,4.5,31,30,Free,Jaipur
U074,2.4,20,56,Basic,Delhi
U075,9.4,52,48,Basic,Delhi
U076,1.7,17,47,Free,Ludhiana
U077,6.2,42,53,Basic,Jaipur
U078,4.7,36,59,Premium,Kolkata
U079,7.7,42,50,Free,Delhi
U080,2.8,17,42,Premium,Pune
U081,3.5,24,50,Basic,Ludhiana
U082,4.2,25,54,Premium,Mumbai
U083,2.8,18,38,Free,Jaipur
U084,3.6,22,19,Basic,Delhi
U085,8.8,38,44,Basic,Delhi
U086,1.4,14,65,Basic,Hyderabad
U087,0.5,10,58,Free,Kolkata
U088,1.1,12,40,Basic,Chandigarh
U089,2.7,20,58,Free,Mumbai
U090,5.8,29,23,Free,Mumbai
U091,6.6,47,58,Basic,Chandigarh
U092,3.0,19,16,Basic,Kolkata
U093,4.6,24,57,Free,Mumbai
U094,2.2,15,32,Basic,Bengaluru
U095,2.8,21,48,Free,Bengaluru
U096,1.0,13,62,Free,Chandigarh
U097,5.3,36,18,Free,Ludhiana
U098,4.3,27,40,Free,Pune
U099,8.8,51,33,Premium,Pune
U100,8.7,56,55,Free,Chandigarh
U101,8.0,46,54,Basic,Bengaluru
U102,6.3,41,63,Free,Delhi
U103,9.2,58,44,Basic,Jaipur
U104,5.3,31,29,Basic,Hyderabad
U105,2.7,18,58,Premium,Kolkata
U106,9.1,49,31,Free,Chandigarh
U107,2.4,16,45,Free,Pune
U108,6.7,31,55,Basic,Hyderabad
U109,1.6,14,25,Free,Pune
U110,1.7,14,62,Premium,Ludhiana
U111,1.9,16,32,Premium,Kolkata
U112,2.2,18,61,Free,Bengaluru
U113,3.0,23,40,Free,Delhi
U114,5.1,29,26,Premium,Hyderabad
U115,9.4,36,41,Free,Hyderabad
U116,5.5,38,25,Basic,Chandigarh
U117,2.1,19,55,Basic,Delhi
U118,5.1,25,37,Basic,Hyderabad
U119,8.3,48,34,Free,Bengaluru
U120,7.2,31,62,Premium,Pune
U121,7.3,42,42,Free,Hyderabad
U122,6.0,36,31,Free,Jaipur
U123,2.7,19,57,Free,Pune
U124,1.3,16,59,Premium,Pune
U125,7.7,38,49,Premium,Jaipur
U126,4.5,34,52,Premium,Bengaluru
U127,8.4,48,55,Premium,Chandigarh
U128,3.1,20,29,Basic,Patiala
U129,2.4,16,47,Basic,Hyderabad
U130,3.1,24,53,Free,Hyderabad
U131,3.8,23,19,Free,Delhi
U132,7.4,38,21,Free,Patiala
U133,10.2,56,24,Premium,Jaipur
U134,1.6,14,46,Free,Hyderabad
U135,4.2,27,51,Premium,Delhi
U136,3.2,20,18,Basic,Delhi
U137,7.6,50,30,Premium,Mumbai
U138,7.6,47,43,Basic,Chandigarh
U139,7.5,42,32,Basic,Chandigarh
U140,5.1,25,26,Premium,Jaipur
U141,4.8,22,57,Premium,Delhi
U142,2.2,17,53,Basic,Kolkata
U143,9.3,38,32,Free,Patiala
U144,9.5,39,24,Free,Mumbai
U145,1.3,16,63,Free,Bengaluru
U146,3.5,24,30,Basic,Bengaluru
U147,1.3,12,56,Basic,Patiala
U148,6.1,41,52,Basic,Mumbai
U149,8.2,45,37,Basic,Bengaluru
U150,8.6,53,18,Basic,Chandigarh
U151,0.9,12,64,Free,Delhi
U152,10.2,42,21,Premium,Pune
U153,5.6,31,61,Premium,Kolkata
U154,7.7,48,26,Premium,Patiala
U155,7.4,41,53,Free,Kolkata
U156,4.1,22,32,Basic,Jaipur
U157,3.1,26,29,Premium,Pune
U158,6.4,45,26,Free,Patiala
U159,9.1,46,33,Basic,Jaipur
U160,6.6,29,20,Basic,Delhi
U161,4.9,32,20,Free,Chandigarh
U162,9.2,59,61,Free,Ludhiana
U163,7.1,41,25,Premium,Bengaluru
U164,3.1,23,29,Basic,Pune
U165,8.4,43,35,Free,Bengaluru
U166,3.1,20,51,Premium,Kolkata
U167,10.8,54,20,Free,Hyderabad
U168,4.4,33,63,Basic,Chandigarh
U169,8.5,52,60,Free,Mumbai
U170,2.5,19,48,Free,Kolkata
U171,7.1,39,61,Premium,Jaipur
U172,1.8,18,34,Basic,Jaipur
U173,9.2,41,39,Basic,Jaipur
U174,2.4,18,42,Free,Hyderabad
U175,2.6,20,27,Free,Delhi
U176,5.3,39,45,Free,Kolkata
U177,9.4,51,35,Free,Delhi
U178,9.5,51,25,Premium,Chandigarh
U179,9.0,45,24,Premium,Mumbai
U180,4.3,30,28,Premium,Ludhiana
U181,2.2,15,44,Premium,Delhi
U182,4.9,26,31,Free,Bengaluru
U183,6.4,43,21,Premium,Patiala
U184,8.4,53,42,Premium,Pune
U185,3.7,23,37,Free,Ludhiana
U186,3.1,20,47,Free,Kolkata
