Student ID,Course,Hours Studied,Quiz Score,Percentage,Device,Country
1001,SQL,78.0,35.0,22.0,Laptop,USA
1002,Data Science,31.0,73.0,60.0,Mobile,Brazil
1003,AI,105.0,87.0,95.0,Laptop,Australia
1004,Data Science,40.0,73.0,63.0,Tablet,Brazil
1005,Web Dev,114.0,85.0,60.0,Tablet,Japan
1006,C++,70.0,84.0,62.0,Tablet,Japan
1007,Python,15.0,70.0,85.0,Tablet,UK
1008,Data Science,37.0,30.0,32.0,Mobile,India
1009,AI,148.0,47.0,29.0,Tablet,Brazil
1010,Web Dev,120.0,72.0,47.0,Mobile,Brazil
1011,Python,21.0,43.0,62.0,Mobile,Canada
1012,ML,70.0,36.0,72.0,Laptop,USA
1013,Java,124.0,94.0,81.0,Laptop,USA
1014,Python,33.0,97.0,93.0,Laptop,Japan
1015,SQL,94.0,81.0,76.0,Tablet,Canada
1016,Web Dev,137.0,56.0,86.0,Tablet,USA
1017,Java,68.0,94.0,94.0,Laptop,Australia
1018,Java,136.0,72.0,36.0,Tablet,UK
1020,C++,123.0,75.0,22.0,Laptop,UK
1021,Data Science,64.0,58.0,44.0,Laptop,Germany
1023,C++,132.0,78.0,45.0,Laptop,Japan
1024,Web Dev,101.0,72.0,38.0,Mobile,UK
1025,ML,16.0,52.0,42.0,Tablet,Australia
1026,AI,138.0,53.0,87.0,Tablet,India
1027,C++,44.0,100.0,55.0,Mobile,Brazil
1028,AI,95.0,70.0,24.0,Laptop,Australia
1029,C++,21.0,55.0,70.0,Laptop,India
1030,Python,138.0,98.0,87.0,Tablet,Canada
1031,AI,22.0,64.0,40.0,Mobile,Australia
1033,C++,44.0,37.0,56.0,Laptop,USA
1034,Python,123.0,67.0,79.0,Mobile,Australia
1035,Python,74.0,74.0,74.0,Tablet,Canada
1036,Web Dev,87.0,36.0,30.0,Mobile,Australia
1038,SQL,69.0,47.0,36.0,Laptop,Japan
1039,AI,40.0,32.0,53.0,Tablet,Australia
1040,Java,47.0,88.0,87.0,Tablet,India
1041,AI,74.0,41.0,51.0,Mobile,India
1043,Python,119.0,68.0,74.0,Mobile,Canada
1045,ML,100.0,43.0,59.0,Tablet,Australia
1047,C++,21.0,92.0,44.0,Mobile,Australia
1049,ML,34.0,44.0,86.0,Laptop,Australia
1050,Java,126.0,58.0,86.0,Mobile,Germany
1051,ML,64.0,75.0,89.0,Laptop,India
