total_bill,tip,sex,smoker,day,time,size
33.77,1.86,Female,Yes,Fri,Lunch,6
9.61,1.9,Male,No,Thur,Lunch,1
14.84,2.24,Male,Yes,Sun,Lunch,4
31.52,6.68,Male,Yes,Sun,Dinner,3
12.0,2.9,Female,Yes,Thur,Dinner,1
21.15,2.51,Female,Yes,Sun,Lunch,4
8.55,0.93,Female,Yes,Thur,Lunch,6
15.26,1.65,Male,Yes,Thur,Dinner,3
25.4,5.51,Male,No,Sat,Lunch,6
17.01,4.04,Male,Yes,Fri,Lunch,4
22.08,5.47,Male,No,Thur,Lunch,1
41.23,5.37,Male,Yes,Sat,Lunch,6
27.47,6.23,Female,Yes,Sat,Lunch,2
38.52,6.08,Female,No,Sat,Lunch,2
27.93,1.9,Male,Yes,Fri,Lunch,6
24.0,1.5,Female,No,Sat,Lunch,6
37.43,6.97,Female,No,Thur,Dinner,4
12.12,0.61,Female,Yes,Thur,Dinner,6
27.84,2.5,Female,Yes,Thur,Dinner,4
5.88,1.39,Female,Yes,Thur,Lunch,5
47.61,3.2,Female,Yes,Fri,Lunch,6
26.39,4.22,Female,No,Fri,Lunch,6
19.03,4.74,Female,No,Sun,Lunch,2
15.11,1.78,Male,Yes,Thur,Lunch,6
33.4,3.2,Male,No,Thur,Lunch,3
35.1,3.26,Male,No,Fri,Dinner,4
13.57,0.94,Female,No,Sun,Dinner,4
43.87,2.67,Male,Yes,Sun,Dinner,1
16.19,1.43,Female,Yes,Sun,Lunch,3
25.82,5.81,Male,No,Thur,Lunch,6
49.97,10.85,Male,Yes,Fri,Dinner,4
26.66,5.94,Male,Yes,Sun,Lunch,4
16.93,3.5,Female,No,Sun,Dinner,2
13.55,1.27,Male,Yes,Sat,Lunch,1
31.29,4.71,Male,Yes,Thur,Lunch,1
31.78,5.88,Male,No,Thur,Lunch,5
31.75,5.52,Female,No,Sat,Lunch,6
37.23,3.64,Female,Yes,Sat,Dinner,3
46.81,11.1,Male,No,Thur,Lunch,5
14.59,1.5,Female,Yes,Fri,Dinner,3
12.1,2.62,Female,Yes,Sat,Lunch,2
16.9,3.85,Male,No,Sat,Lunch,6
20.43,3.83,Female,No,Sat,Lunch,1
33.54,7.24,Male,Yes,Sat,Lunch,6
49.09,4.04,Female,No,Thur,Lunch,1
47.53,8.95,Male,Yes,Sat,Lunch,4
10.74,1.2,Male,No,Fri,Lunch,6
9.63,1.98,Female,Yes,Fri,Lunch,2
44.66,2.45,Female,No,Fri,Dinner,2
40.43,2.9,Male,No,Fri,Lunch,4
20.73,4.44,Male,Yes,Thur,Lunch,4
19.77,4.41,Female,No,Sun,Dinner,1
10.19,2.49,Male,No,Thur,Lunch,5
24.56,4.81,Female,No,Thur,Dinner,5
13.55,0.8,Female,Yes,Fri,Dinner,4
8.15,1.49,Female,No,Thur,Dinner,5
18.92,2.49,Female,No,Fri,Lunch,4
34.92,4.39,Male,No,Sun,Lunch,3
17.91,2.44,Female,No,Sun,Dinner,6
14.62,2.11,Male,Yes,Sat,Dinner,1
41.83,8.38,Female,Yes,Fri,Lunch,1
7.08,1.75,Male,No,Sun,Lunch,6
36.34,5.41,Male,Yes,Thur,Lunch,4
14.85,3.13,Female,Yes,Fri,Lunch,4
11.0,1.57,Female,No,Sun,Dinner,2
38.46,5.57,Female,Yes,Sat,Dinner,6
15.77,2.18,Female,Yes,Sat,Dinner,3
45.19,2.99,Male,Yes,Sun,Lunch,6
14.63,1.95,Female,No,Sun,Lunch,2
42.48,5.43,Male,No,Sun,Lunch,3
18.44,2.36,Female,Yes,Sun,Lunch,3
24.61,1.37,Female,No,Fri,Dinner,2
49.13,7.7,Female,Yes,Thur,Dinner,2
44.01,3.8,Female,No,Sat,Lunch,4
19.71,3.99,Female,No,Sun,Dinner,1
26.16,5.23,Male,No,Fri,Lunch,6
6.81,0.38,Male,Yes,Thur,Lunch,2
10.68,1.96,Male,No,Sat,Dinner,2
32.27,7.83,Male,Yes,Sat,Lunch,5
6.16,0.69,Female,No,Fri,Lunch,5
36.08,6.33,Male,No,Thur,Lunch,3
28.97,5.28,Male,No,Thur,Dinner,4
9.75,2.36,Female,Yes,Sun,Lunch,6
28.48,5.13,Female,No,Sun,Dinner,3
43.33,9.37,Male,No,Sun,Lunch,4
30.64,5.63,Female,Yes,Sun,Dinner,2
26.94,3.26,Female,No,Sat,Dinner,5
5.46,1.31,Male,Yes,Sun,Dinner,5
39.12,7.36,Female,No,Thur,Lunch,3
14.97,2.82,Female,No,Sun,Dinner,4
49.85,7.98,Female,No,Sat,Dinner,3
15.37,2.99,Female,Yes,Fri,Lunch,2
38.24,4.03,Female,Yes,Fri,Dinner,2
21.24,2.35,Male,No,Thur,Lunch,5
18.15,4.33,Female,Yes,Thur,Dinner,4
26.54,3.14,Male,No,Sun,Lunch,1
23.03,1.49,Male,Yes,Fri,Dinner,1
49.73,3.66,Female,Yes,Sun,Dinner,4
18.38,3.08,Female,No,Thur,Lunch,2
33.15,3.41,Male,Yes,Fri,Lunch,5
